name	sector	area	type	levelisedCost	abatement	abatementUnit	abatementPct	levelisedCostEnergy	abatementEnergy	abatementUnitEnergy	abatementPctEnergy	levelisedCostElec	abatementElec	abatementUnitElec	abatementPctElec	description	dyLabel	dxLabel	baselineEmissions	targetEmissions	baselineEnergy	targetEnergy				
Reforestation (for firewood)	Municipal	Shire / grid-scale electricity actions	Renewable Generation	0	0	t CO2-e	0.00%	3.1	193321	GJ	22.20%	0	0	MWh	0.00%	"<p>Reforestation projects not used for firewood (or other wood product) production act as carbon sinks in the Shire. Accordingly, the residual growth of wood from reforestation projects is captured in this simple model of forestry carbon sinks. The capacity of wood biomass to sequester CO2 is modeled as 2.64 tCO2-e per tonne of wood (as derived from the IPCC default carbon factor (0.5) and the conversion of carbon (C) to CO2 by ratio of molecular mass.</p>
<p>Revenue from the plantation project being ERF eligible (i.e. value of generated ACCU's) is included in this business case for a 20 year crediting period at modeled ACCU price of $13.5 per tonne CO2-e</p>"	1									
Hepburn Wind Solar Farm (3MW)	Municipal	Shire / grid-scale electricity actions	Renewable Generation	62.1	6264	t CO2-e	2.10%	20	19440	GJ	2.20%	7.2	5400	MWh	4.50%	"<p>Solar electricity, also known as solar photovoltaic (PV) electricity, is generated by converting sunlight directly into electricity. Large or ""utility"" scale solar PV uses the same technology as rooftop solar panels. Utility scale solar PV is suited to country locations with low population density but with close proximity to appropriate grid connections.</p>
<p>Hepburn Wind is developing a Solar Farm project at Leonards Hill with a 3MW capacity expected to delivers 5 GWh of electricity into the grid per year. Modeled costs are indicative and include all costs associated with generation and export (i.e. to provide an indicative levelised cost of energy delivered to the market).</p>"	1									
Hepburn Shire Bioenergy Plant (65kW)	Municipal	Shire / grid-scale electricity actions	Renewable Generation	-9.7	5774	t CO2-e	0.10%	-61.6	907	GJ	0.10%	-22.2	252	MWh	0.20%	"<p>Energy generation from biomass uses the burning of organic matter (e.g. crop waste) to produce heat energy at all scales (e.g. firewood is a type of biomass). At large (commercial) scale biomass is burnt to produce either heat to supply district heating or to produce steam for power generation . </p>
<p>Council is developing a pilot bioenergy project that will expand to a 65kW system which delivers 252 MWh of electricity into the grid per annum and a 257MWh heating load. As the energy generated is expected to offset a local load with minimal export, this projects levelised cost is more akin to 'behind-the-meter' generattion (rather than being compared utility-scale generation) </p>"	1									
Microgrid / VPP	Municipal	Shire / grid-scale electricity actions	Renewable Generation	-83.5	13690	t CO2-e	4.60%	-31.2	36626	GJ	4.20%	-11.2	10174	MWh	8.40%	"<p>Community microgrids and Virtual Power Pplants (VPP) help participants use distributed energy resources like solar and batteries more effectively. This ability to share resources improves the return on investment and penetration of renewables. In theory, VPPs (and microgrids) that are connected to the wider electricity network generate additional revenue by participating in energy markets and providing grid support. The business case for community microgrids and VPPs relies on participation (i.e combined size of DERs), and is enhanced in areas where the grid is 'constrained' and able to benefit from grid support services.</p>
<p>This option models a solar and battery offer to households currently without solar, but with adequate roof conditions to install solar PV panels (estimated to be 90% of occupied households). The modeled target penetration rate is for 90% of occupied homes to have solar PV installed (at ave. size of 5kW, and with a 7kW / 13.5kWh battery, connected to a VPP in the Shire.</p>
<p>The modeled cost for each battery unit is $10000 per household (for a 7kW capacity with 13.5kWh storage), however 20% dicsonute is also modeled as an incentive for participating in the VPP</p>
<p>Energy cost savings are estimated to be around $1601 per household each year, based on householdss having (ToU) tariff (with off peak on weekends), and and average usage pattern where 0% of generated energy is fed back to the grid.</p>
<p>*Because the battery life is less than that of the solar PV panels, the benefits of the battery on energy cost savings are absent after its 15year lifespan. This is done by modeling the the same proportion of energy export as the solar only model (75% for the remaining years (i.e. the value defaults to 'solar only'.</p>"	1									
Utility-scale Solar PV (20 MW)	Municipal	Shire / grid-scale electricity actions	Renewable Generation	69	42533	t CO2-e	14.40%	2.9	132000	GJ	15.20%	8	36667	MWh	30.40%	<p>Utility-scale Solar PV (20 MW)</p>	1									
Utility-scale Wind (20 MW)	Municipal	Shire / grid-scale electricity actions	Renewable Generation	51.7	64032	t CO2-e	21.60%	2.2	198720	GJ	22.80%	6	55200	MWh	45.80%	<p>Utility-scale Solar PV (20 MW)</p>	1									
Climate Smart Farms	Municipal	Farm actions	Emissions Reduction	13.4	42056	t CO2-e	14.20%	13.4	39839	GJ	4.60%	35.6	1580	MWh	1.30%	"<p>This option targets small and medium sized farms for implementing a suite of zero net carbon actions on farm that include: addressing on-farm fuel and energy use, reducing animal (enteric) emissions via feed stock (see also ERF cattle option models) and capturing carbon in soils through various practices and technologies.</p>
<p>The option targets all small and medium sized livestock and crop commodity farms, estimated to contribute around 74% of all non-energy agricultual emissions. An uptake rate of 80% of farms across both types is modeled. Savings in soil-related emissions on livestock farms are modeled to be 100% (i.e. captured in soil) with 10% of animal-related emissions saved. Cropping emissions at crop commoditie farms is estimated at 100%, while electricity savings are modeled at 100% across both type of fams.</p>
<p>It should be noted that the economics of this option will vary markedly between sites. Cases studies are cited (below) to help farmers understand the details of types of actions; and accordingly, modeled costs are highly abstract and designed to represent a typical structure of 'upfront' implementation cost with some ongoing benefits from improved practices and productivity. It is expected that these costs will be refined in the future.</p>
<p>Modeled costs for each farm are estimated at $5000 upfront, with ongoing annual costs of $2000 p.a. These costs are offset by savings in electricity costs (estimated at $809 per year, and benefits from improved productivity of around $500 p.a.</p>"	1									
Herd Management For Beef Cattle	Municipal	Farm actions	Emissions Reduction	11.6	2229	t CO2-e	0.80%	0	0	GJ	na	11.6	0	MWh	0.00%	"<p>Better herd management practices for beef cattle can reduce can reduce the emissions intensity of production. These practices are recognised and approved under the Australian Governments Emissions Reduction Fund (ERF), which ""provides incentives for Australian businesses, farmers, land holders and others to adopt new practices and technologies to reduce Australia’s greenhouse gas emissions"", (CER, 2018). These 'incentives' are in the form of ""Australian carbon credit units"" (ACCUs), which are generated from each project and sold to the Australian government. Under the ""Beef Cattle Herd Management"" method, crediting is based on emissions reductions achieved through efficiency gains, where emissions are reduced while beef production is maintained or increased.</p>
<p>Better herd management practices may be adopted without participation in the ERF, which is more suited to larger or aggregated herd sizes. However in order to understand the indicatives economic of this option, a simplified cost structured is assumed where the value of credits (over 7 years) provide a nominal return to project operators. Moreover, the benefits of participating in a ""Better herd management"" ERF project are expected to cover the costs. The economic case for those participating under the ERF are expected to include costs of new practices, monitoring and auditing (for ERF), and benefits of improved productivity (i.e. reduced costs) and the value of ACCUs.
</p>
<p>The option simply targets an uptake by farms with 80% of the beef cattle in the shire (by number). All participants are modelled with a 10% improvement in productivity (i.e. emissions intensity of production). And the benefit received is expected to be $13.5 per t CO2-e (i.e. the most recent ACCU action price at the time of modeling). For convenience, actions are assumed to continue to 2029.</p>
<p>More about this option from the Clean Energy Regulator website: Beef cattle emit methane when digesting feed and nitrous oxide from their dung and urine. Emissions from a beef cattle herd are related to productivity, which is influenced by feed composition and herd management practices. When cattle have access to sufficient high quality feed, they have better survival and growth rates. Improving breeding practices and removing less productive animals can also help enhance herd performance. The results of these improvements include herds with lower average age and higher weight gain relative to age. Emissions are reduced because cattle produce emissions for fewer days, and fewer animals are required for a given level of output. A range of management practices can deliver these emissions reductions. Farmers can choose the management practices best suited to their circumstances. Types of practices that could be adopted include 1) establishing higher quality pasture, 2) providing a feed supplement all year round, 3) improving weaning percentage by culling unproductive cows, 4) installing fences to control herd movements and improve joining practices and 5) expanding watering points to allow cattle to graze more widely and make better use of available pasture.

See http://www.environment.gov.au/climate-change/government/emissions-reduction-fund/methods/beef-cattle-herd-management</p>"	1									
Beef Cattle: Feeding Nitrate Supplements	Municipal	Farm actions	Emissions Reduction	10.3	2229	t CO2-e	0.80%	0	0	GJ	na	10.3	0	MWh	0.00%	"<p>Feeding nitrate containing supplements to beef cattle, by replacing urea lick blocks with nitrate lick blocks for pasture-fed beef cattle, can reduce emissions from enteric fermentation (i.e. in the cows stomach). This practices is recognised and approved under the Australian Governments Emissions Reduction Fund (ERF), which ""provides incentives for Australian businesses, farmers, land holders and others to adopt new practices and technologies to reduce Australia’s greenhouse gas emissions"", (CER, 2018). These 'incentives' are in the form of ""Australian carbon credit units"" (ACCUs), which are generated from each project and sold to the Australian government. 

</p>
<p>Feeding nitrate supplements may be adopted without participation in the ERF (which is more suited to larger or aggregated herd sizes). However in order to understand the indicatives economic of this option, a simplified cost structured is assumed where the value of credits (over 7 years) provide a nominal return to project operators. Moreover, the benefits of participating in a ""Feeding Nitrates to beef cattle"" ERF project are expected to cover the costs. The economic case for those participating under the ERF are expected to include costs of new practices, monitoring and auditing (for ERF), and benefits of improved productivity (i.e. as cattle as expected to better utilise the pasture they consume) and the value of ACCUs.
</p>
<p>The option simply targets an uptake by farms with 80% of the beef cattle in the shire (by number). All participants are modelled with a 10% reduction in methane emissions (with productivity maintained). And the benefit received is expected to be $13.5 per t CO2-e (i.e. the most recent ACCU action price at the time of modeling). For convenience, actions are assumed to continue to 2029.</p>
<p>More about this option from the Clean Energy Regulator website and from Meat and Livestock Australia (links below). MLA state ""It has been shown that substituting nitrate for urea can reduce the amount of methane emitted by cattle for the same feed intake while still providing required nitrogen to assist digestion. This method is about rewarding producers who replace urea supplements with nitrate supplements in the form of lick-blocks to pasture-fed cattle""

See http://www.environment.gov.au/climate-change/government/emissions-reduction-fund/methods/reducing-greenhouse-gas-emissions-beef-cattle-nitrate-supplements
and https://www.mla.com.au/globalassets/mla-corporate/blocks/research-and-development/erf-fact-sheet_nitrates_final.pdf</p>"	1									
Dairy Cattle: Feeding Dietary Additives	Municipal	Farm actions	Emissions Reduction	9.3	926	t CO2-e	0.30%	0	0	GJ	na	9.34	0	MWh	0.00%	"<p>Feeding high fat dietary supplements to diary cattle reduces methane produced in the cows’ rumen and emissions of nitrous oxide and methane in dung and urine. This practices is recognised and approved under the Australian Governments Emissions Reduction Fund (ERF), which ""provides incentives for Australian businesses, farmers, land holders and others to adopt new practices and technologies to reduce Australia’s greenhouse gas emissions"", (CER, 2018). These 'incentives' are in the form of ""Australian carbon credit units"" (ACCUs), which are generated from each project and sold to the Australian government. </p>
<p>Feeding nitrate supplements may be adopted without participation in the ERF (which is more suited to larger or aggregated herd sizes). However in order to understand the indicatives economic of this option, a simplified cost structured is assumed where the value of credits (over 7 years) provide a nominal return to project operators. Moreover, the benefits of participating in a ""Reducing greenhouse gas emissions in milking cows through feeding dietary additives"" ERF project are expected to cover the costs. The economic case for those participating under the ERF are expected to include costs of supplements, monitoring and auditing (for ERF), and benefits of improved productivity (i.e. as cattle as expected to benefit from improved digestion) and the value of ACCUs.
</p>
<p>The option simply targets an uptake by farms with 80% of the dairy cattle in the shire (by number). All participants are modelled with a 10% reduction in methane emissions (with productivity maintained). And the benefit received is expected to be $13.5 per t CO2-e (i.e. the most recent ACCU action price at the time of modeling). For convenience, actions are assumed to continue to 2029.</p>
<p>More about this option from the Clean Energy Regulator website:
See http://www.environment.gov.au/climate-change/government/emissions-reduction-fund/methods/reducing-greenhouse-gas-emissions-milking-cows</p>"	1									
Soil Carbon: Sequestration In Grazing Systems	Municipal	Farm actions	Carbon Sequestration	10.7	17539	t CO2-e	5.90%	0	0	GJ	na	0	0	MWh	0.00%	"<p>The soil in grazing systems can be managed to sequester carbon dioxide. Some of these methods (Sanderman et al, 2010 for CSIRO cf cited from Kondinen, 2015) relate to 
1) Shifts within an existing cropping or mixed enterprise system, such as: rotation to eliminate fallow with a cover crop, rotation to increase the proportion of pasture to crops and pasture, rotation pasture cropping. and organic matter and other
offsite additions
2) Shifts within an existing pastoral system: Increasing productivity through irrigation or fertilisation, rotational grazing and shifts to perennial species
3) Shift to different system: Conventional to organic farming system, Cropping to pasture system, and Retirement of land and restoration of degraded land
</p>
<p>Any combination of these practices that sequesters carbon in grazing system soils may form the basis of an eligible ERF project under the ""Sequestering carbon in soils in grazing systems"". However it should be noted that soil carbon projects under the ERF require highly technical measurement and verification methods.</p>
<p>The option simply targets an uptake by farms with 20% of the grazing land in the shire. All participants are modelled with the potential to sequester 1.5tCO2 per ha each year, based on case study analysis provided in the Kondinen Groups carbon farming project guide. The benefit received is expected to be $13.5 per t CO2-e (i.e. the most recent ACCU action price at the time of modeling). For convenience, actions are assumed to continue to 2029.</p>"	1									
Reduce Waste To Landfill	Municipal	Reducing waste emissions	Emissions Reduction	0	971	t CO2-e	0.30%	0	0	GJ	na	na	0	MWh	0.00%	"<p>Landfill waste - particularly of organic content - emits greenhouses gases as waste decomposes. This option provides a general opportunity assessment for reducing the amount of waste to landfill through a combination of actions to use/waste less, increase recycling rates and to compost organic materials on site. These are just a handful of the household and business-level behavioral change opportunities outlined into h Hepburn Shire' Waste Management and Resource Recovery Strategy (2014). Policy and strategic actions at the Council and Regional level - outlined in the Highlands Regional Waste Management Groups Regional Waste Management Plan - are assumed to be implemented to support the outcome of reduced landfill waste. It should be noted that reducing organic waste for collection will impact the amount of available feedstock for waste to energy projects: however this interaction is modeled here.</p>
<p>This model assumes a simple reduction of waste to landfill at the household level of 10% (for locals only), and a reduction of commercial and industrial waste to landfill of 20% (including visitor component of Commerical waste). To simplify the accounting of waste categories, municpal waste collected in public bins is included in the 'household' component i.e. in the same kerbside collection.</p>
<p>Although reducions from these actions are assumed to continue indefinitely, modelling is only extended to the ZNET timeframe (12 years). All actions are assumed to be linked to behvarioual changes and are modeled with $0 upfront cost.</p>"	1									
Hepburn Council Zero Emission Waste Commitment	Municipal	Reducing waste emissions	Emissions Reduction	15	632	t CO2-e	0.20%	0	0	GJ	na	na	0	MWh	0.00%	<p>Hepburn Shire Council have their own zero net emissions target for waste (expected to be reached by 2029) that hsa been modeled to apply to all residential (MSW) waste in kerbside collections (destined for landfill). An indicative cost of $0 per tonne is assumed in this basic model to match the modeled offset price (for local projects).</p>	1									
Central Highlands Water: Zero Emissions Commitment	Municipal	Reducing waste emissions	Emissions Reduction	15	2324	t CO2-e	0.80%	0	0	GJ	na	na	0	MWh	0.00%	<p>Central Highlands Water (who process the Shires wastewater) have their own zero net emissions target (that is expected to be reached by 2029) that applies to all of the Shire's wastewater emissions. An indicative cost of $15 per tonne is assumed in this basic model to match the modeled offset price (for local projects).</p>	1									
Reforestation (for carbon sequestration)	Municipal	Forestry	Carbon Sequestration	18	17600	t CO2-e	5.90%	0	0	GJ	na	na	0	MWh	0.00%	"<p>Reforestation projects not used for firewood (or other wood product) production act as carbon sinks in the Shire. Accordingly, the residual growth of wood from reforestation projects is captured in this simple model of forestry carbon sinks. The capacity of wood biomass to sequester CO2 is modeled as 2.64 tCO2-e per tonne of wood (as derived from the IPCC default carbon factor (0.5) and the conversion of carbon (C) to CO2 by ratio of molecular mass.</p>
<p>Revenue from the plantation project being ERF eligible (i.e. value of generated ACCU's) is included in this business case for a 20 year crediting period at modeled ACCU price of $13.5 per tonne CO2-e</p>"	1									
Low-Emission Passenger Vehicles	Municipal	Local transport	Emissions Reduction	-518.6	2928	t CO2-e	1.00%	-36.9	2928	GJ	2.90%	na	0	MWh	0.00%	"<p>This option models the (encouraged) transition of Hepburn's current residential and commercial/industrial passenger vehicles to newer and more efficient models (i.e. smaller internal combustion engine vehicles). Modeling in this option assumes that average vehicle mileage remains consistent over time (i.e. does not include behavior change and modal shift impacts). The option targets four types of vehicle types for a combination of replacement with smaller (i.e. 6cylinder to 4 cylinder and 8+ cylinder to 6 cylinder) and/or more efficient (newer) engines, based on Australian average fuel efficiencies for newer ('less than five years old') vehicles. Expected future vehicle efficiency improvements and fuel switching between ICE fuel types are not modeled.</p>
<p>Passenger vehicles (15337 in total) account for 50% of all transport emissions. Under this option, 13326 passenger vehicles are targeted, with 71% modeled to changeover, or 10930 vehicles in total.</p>
<p>The marginal cost for each 'new' vehicle owner is modeled as $0, as vehicles are expected to changeover at natural end of life. The expected lower cost of a smaller engine is not modeled. Drivers are expected to save around $130 per year on average (depending on option and fuel type). Benefits are modeled for 15 years (reflective of the high average age of current Hepburn vehicles). </p>"	1									
Low-Emission Lcvs And Trucks	Municipal	Local transport	Emissions Reduction	-450.9	2600	t CO2-e	0.90%	-33.2	2600	GJ	2.50%	na	0	MWh	0.00%	"<p>This option models the (encouraged) transition of Hepburn businesses' light commercial vehicles (LCV) and assorted trucks to newer and more efficient models. Modeling in this option assumes that average vehicle mileage remains consistent over time (i.e. does not include behavior change and modal shift impacts). Opportunity modeling using Australian datasets (ABS, 2016) shows that newer model LCV and non-freight trucks have tended to be more efficient (around 5%) than older models, however the efficiency of heavy trucks (i.e. Rigid and Articulated) has on average not improved. Accordingly, while LCV/non-Freight efficiency is modeled as a natural turnover (with zero marginal cost), modeling of the changeover of Rigid and Articulated trucks to more efficient versions is assumed to have a marginal cost (i.e. a 'premium' model assumed to be 'more efficient'.</p>
<p>LCVs and trucks of all types (4424 in total) account for 50% of all transport emissions. Under this option, 2949 passenger vehicles are targeted, with 67% modeled to changeover, or 2949 vehicles in total.</p>
<p>The uptake of the option amongst targeted vehicles is modeled as 67% for LCV/non-freight trucks (i.e. all 'expiring' vehicles over 10 years assuming a 15 year vehicle life); and 67% for Rigid/Articulated trucks (i.e. all 'expiring' vehicles over 10 years assuming a 15 year vehicle life).</p>"	1									
